OCC2010,SEX,age_category,median_wage
"Sales Representatives, Wholesale and Manufacturing",Male,50 plus,76174
"Sales Representatives, Wholesale and Manufacturing",Female,Under 35,45561
"Sales Representatives, Wholesale and Manufacturing",Female,35 to 50,63000
"Sales Representatives, Wholesale and Manufacturing",Female,50 plus,57605
Secretaries and Administrative Assistants,Male,Under 35,32797
Secretaries and Administrative Assistants,Male,35 to 50,47132
Secretaries and Administrative Assistants,Male,50 plus,50000
Secretaries and Administrative Assistants,Female,Under 35,30739
Secretaries and Administrative Assistants,Female,35 to 50,37048
Secretaries and Administrative Assistants,Female,50 plus,40541
"Software Developers, Applications and Systems Software",Male,Under 35,84000
"Software Developers, Applications and Systems Software",Male,35 to 50,114163
"Software Developers, Applications and Systems Software",Male,50 plus,115211
"Software Developers, Applications and Systems Software",Female,Under 35,75823
"Software Developers, Applications and Systems Software",Female,35 to 50,94266
"Software Developers, Applications and Systems Software",Female,50 plus,95218
